"","Sample","Experiment","Experiment.Title","Organism.Name","Instrument","Submitter","Study.Accession","Study.Title","Total.Size..Mb","Total.RUNs","Total.Spots","Total.Bases","Library.Strategy","Library.Source","Library.Selection","Run","ReleaseDate","LoadDate","spots","bases","spots_with_mates","avgLength","size_MB","download_path","LibraryStrategy","LibrarySelection","LibrarySource","LibraryLayout","InsertSize","InsertDev","Platform","Model","SRAStudy","BioProject","Study_Pubmed_id","ProjectID","BioSample","SampleType","TaxID","ScientificName","SampleName","Tumor","CenterName","Submission","Consent","RunHash","ReadHash"
"1","SRS1219076","SRX1497382","GSM1978265: RNA-seq Beta8; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",6915.13,1,114783044,11478304400,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048083","2015-12-27 19:52:05","2015-12-22 14:26:01",114783044,11478304400,0,100,6915,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048083","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362238","simple",9606,"Homo sapiens","GSM1978265","no","GEO","SRA321280","public","66DD10D6B9174F881A97FF313E892D50","5E5A56509834A89CC944D15A0ECC249B"
"2","SRS1219077","SRX1497381","GSM1978264: RNA-seq Beta7; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2282.65,3,36289494,3628949400,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048082","2015-12-27 19:52:05","2015-12-22 14:08:43",13010125,1301012500,0,100,809,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048082","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362237","simple",9606,"Homo sapiens","GSM1978264","no","GEO","SRA321280","public","A3101E5FEDED415AE3ABA43769D65E3B","E152183724D9C9446592D1B597E80D32"
"3","SRS1219077","SRX1497381","GSM1978264: RNA-seq Beta7; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2282.65,3,36289494,3628949400,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048080","2015-12-27 19:52:05","2015-12-22 14:07:51",10223206,1022320600,0,100,660,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048080","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362237","simple",9606,"Homo sapiens","GSM1978264","no","GEO","SRA321280","public","20A73D2A40D0D5565868888C447445FE","54A9285D40ACF8CE16861DE7C9B6ADE7"
"4","SRS1219077","SRX1497381","GSM1978264: RNA-seq Beta7; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2282.65,3,36289494,3628949400,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048081","2015-12-27 19:52:05","2015-12-22 14:07:54",13056163,1305616300,0,100,812,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048081","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362237","simple",9606,"Homo sapiens","GSM1978264","no","GEO","SRA321280","public","D1DE2F9378BAE8382826FB2C1702CEE5","194D1525BEFF9C85700FBDD102AED9FD"
"5","SRS1219078","SRX1497380","GSM1978263: RNA-seq Beta6; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2761.94,3,43471625,4347162500,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048078","2015-12-27 19:52:05","2015-12-22 14:11:05",15587249,1558724900,0,100,979,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048078","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362236","simple",9606,"Homo sapiens","GSM1978263","no","GEO","SRA321280","public","63DD2282B1B90A432E12D025963ABF6F","9688C2A6E10648460A1C67DD6D179F34"
"6","SRS1219078","SRX1497380","GSM1978263: RNA-seq Beta6; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2761.94,3,43471625,4347162500,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048079","2015-12-27 19:52:05","2015-12-22 14:12:04",15555955,1555595500,0,100,977,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048079","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362236","simple",9606,"Homo sapiens","GSM1978263","no","GEO","SRA321280","public","2B7FF6ECAE18B094023DFCA1C0783676","DF465B734C3FDF990C590256A5CC8B5B"
"7","SRS1219078","SRX1497380","GSM1978263: RNA-seq Beta6; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2761.94,3,43471625,4347162500,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048077","2015-12-27 19:52:05","2015-12-22 14:08:57",12328421,1232842100,0,100,804,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048077","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362236","simple",9606,"Homo sapiens","GSM1978263","no","GEO","SRA321280","public","E6D021674C0A062F7FE75594435F01B2","5FBB2F6642B1E59361E1EDC0D82B8582"
"8","SRS1219079","SRX1497379","GSM1978262: RNA-seq Beta5; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",4152.07,1,73291067,7329106700,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048076","2015-12-27 19:52:05","2015-12-23 15:16:04",73291067,7329106700,0,100,4152,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048076","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362235","simple",9606,"Homo sapiens","GSM1978262","no","GEO","SRA321280","public","2A3A1C4226580BF22D8C2EB96AEC78FE","79A4FB20E2E2453022AC46A1BEA39748"
"9","SRS1219080","SRX1497378","GSM1978261: RNA-seq Beta4; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",4477.65,1,78508860,7850886000,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048075","2015-12-27 19:52:05","2015-12-23 15:13:29",78508860,7850886000,0,100,4477,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048075","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362234","simple",9606,"Homo sapiens","GSM1978261","no","GEO","SRA321280","public","1DC25F932C956B5E6E8B2A0E09EF7FA3","0711F5ABF3119DC80991F308EB60FE53"
"10","SRS1219081","SRX1497377","GSM1978260: RNA-seq Beta3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",4410.2,1,74954527,7495452700,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048074","2015-12-27 19:52:05","2015-12-23 14:54:53",74954527,7495452700,0,100,4410,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048074","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362233","simple",9606,"Homo sapiens","GSM1978260","no","GEO","SRA321280","public","89B3580642FFF9DA157A53B0EC96E315","72AB28B23E9314212FBEEE4C9C90DDCB"
