# Program:featureCounts v1.6.3; Command:"featureCounts" "-T" "32" "--verbose" "-a" "/data/home/lingzili/GRCh38_genome/WholeGenomeFasta/Homo_sapiens.GRCh38.97.gtf" "-o" "/data/home/lingzili/Islet_Public_Dataset/Human_bulk_RNA/GSE76268/analysis/featurecount/GSE76268_featureCounts.txt" "SRR3048055.bam" "SRR3048059.bam" "SRR3048060.bam" "SRR3048070.bam" "SRR3048074.bam" "SRR3048075.bam" "SRR3048076.bam" "SRR3048083.bam" "SRS1219077.bam" "SRS1219078.bam" "SRS1219082.bam" "SRS1219084.bam" "SRS1219085.bam" "SRS1219086.bam" "SRS1219089.bam" 
Geneid	SRR3048055.bam	SRR3048059.bam	SRR3048060.bam	SRR3048070.bam	SRR3048074.bam	SRR3048075.bam	SRR3048076.bam	SRR3048083.bam	SRS1219077.bam	SRS1219078.bam	SRS1219082.bam	SRS1219084.bam	SRS1219085.bam	SRS1219086.bam	SRS1219089.bam
ENSG00000223972	0	8	2	0	19	6	2	0	0	2	2	0	0	4	1
ENSG00000227232	0	23	27	2	1	62	10	3	1	25	8	1	2	33	6
ENSG00000278267	1	6	9	0	2	9	9	5	2	4	0	0	3	9	3
ENSG00000243485	0	0	4	0	0	0	2	0	0	0	0	1	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ENSG00000240361	0	16	2	0	10	7	2	0	1	0	0	5	0	1	0
ENSG00000186092	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0
ENSG00000238009	0	2	0	3	17	4	0	0	0	0	0	3	3	4	0
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	1	28	4	4	91	72	4	6	2	2	0	3	2	5	1
ENSG00000268903	0	10	1	4	5	1	0	1	0	0	0	0	0	0	0
ENSG00000269981	1	3	0	2	1	5	0	3	0	3	2	0	0	0	0
ENSG00000239906	0	2	0	2	3	2	0	0	0	0	0	2	0	1	0
ENSG00000241860	6	1	0	5	4	0	0	18	3	6	21	2	10	3	5
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	4	19	21	1	6	35	13	11	1	3	2	2	6	5	2
ENSG00000279457	60	54	18	53	13	23	21	117	49	49	54	79	116	61	90
ENSG00000273874	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	4	18	6	8	8	11	3	10	6	2	5	3	11	6	3
ENSG00000286448	0	1	8	2	6	6	10	3	2	0	2	0	3	1	0
ENSG00000236679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	19	15	4	27	24	8	2	61	7	15	40	23	28	11	26
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278757	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000230021	2	20	10	3	1	25	5	7	19	1	3	4	9	5	2
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	0	7	5	0	2	11	0	1	0	196	0	1	0	146	0
ENSG00000225630	22	272	212	30	1830	461	110	141	203	128	0	137	268	128	3
ENSG00000237973	30	22	26	81	16	25	15	73	93	90	63	29	38	41	10
ENSG00000278791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344	0	3	4	0	0	9	5	1	0	70	0	1	1	70	0
ENSG00000240409	0	7	1	0	0	8	0	1	1	0	0	0	0	1	0
ENSG00000248527	14	1240	1402	36	2305	2197	654	316	601	389	6	391	556	311	2
ENSG00000198744	0	12	4	0	0	31	3	4	3	1	2	6	0	2	0
ENSG00000268663	0	4	0	0	0	21	2	1	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	1	8	10	5	27	21	9	15	4	0	1	8	3	4	1
ENSG00000228327	19	69	46	33	46	51	37	76	38	36	42	31	39	38	30
ENSG00000223181	1	1	1	0	0	7	0	0	3	4	0	1	3	2	0
ENSG00000229905	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
ENSG00000237491	104	109	102	75	101	51	126	316	120	75	148	114	155	70	54
ENSG00000285268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230092	18	38	45	32	13	26	19	231	13	19	15	20	33	27	47
ENSG00000177757	19	20	39	13	15	23	21	58	13	23	20	15	13	6	8
ENSG00000228794	841	898	366	923	692	668	563	2451	2259	1141	1969	1129	841	1089	969
ENSG00000225880	19	36	17	16	10	35	31	30	16	26	44	19	41	18	21
ENSG00000230368	0	8	1	1	19	15	14	8	14	0	1	6	1	0	1
ENSG00000234711	0	9	5	0	11	15	2	3	4	1	0	4	0	1	1
ENSG00000283040	0	6	6	1	6	5	5	2	6	1	0	2	0	1	1
ENSG00000272438	3	4	5	3	9	4	5	3	1	2	1	1	2	1	0
ENSG00000230699	4	50	30	10	110	93	29	14	14	9	2	19	6	5	2
ENSG00000241180	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ENSG00000223764	62	94	39	196	156	148	82	74	62	79	86	19	40	17	8
ENSG00000187634	372	227	95	2100	609	897	1105	1613	433	732	507	63	79	120	20
ENSG00000188976	2116	3032	1262	2003	621	920	1105	3190	1643	2161	2408	2668	3056	2448	1730
ENSG00000187961	124	155	81	152	166	180	77	202	84	90	67	151	145	79	28
ENSG00000187583	5	84	52	17	105	105	49	11	16	13	1	18	9	15	1
ENSG00000187642	2	58	31	2	66	65	42	10	7	5	0	9	3	9	1
ENSG00000272512	9	58	28	2	49	63	31	6	8	4	11	32	17	12	24
ENSG00000188290	143	103	13	6	47	28	17	55	12	4	18	33	11	4	90
ENSG00000187608	269	359	105	108	32	45	94	232	35	69	44	195	143	149	48
ENSG00000231702	0	0	0	0	0	1	1	0	1	0	0	2	0	0	1
ENSG00000224969	0	12	8	0	14	7	3	2	13	1	2	19	1	1	5
ENSG00000188157	573	1069	451	156	624	614	520	734	146	147	135	281	267	220	235
ENSG00000242590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	553	251	44	549	107	104	87	331	191	256	137	687	115	182	400
ENSG00000273443	23	30	22	24	12	24	31	14	19	21	11	27	6	28	5
ENSG00000237330	4	56	37	3	69	120	34	20	14	13	4	74	16	7	6
ENSG00000131591	96	181	108	58	158	260	106	153	49	72	28	94	86	79	36
ENSG00000285812	2	8	6	6	3	14	4	5	9	4	5	19	11	0	4
ENSG00000223823	0	29	26	0	60	54	23	1	5	1	0	7	3	5	0
ENSG00000207730	8	4	5	1	0	8	10	11	0	3	0	1	0	5	1
ENSG00000207607	9	2	9	8	3	2	1	8	4	10	5	5	9	9	3
ENSG00000198976	6	5	2	5	7	4	4	5	3	4	0	19	3	10	4
ENSG00000272141	34	33	16	35	43	29	8	40	28	78	7	38	77	96	26
ENSG00000205231	11	54	27	2	104	98	34	16	19	5	9	32	12	15	13
ENSG00000162571	5	103	60	4	145	197	46	11	8	5	6	32	12	8	12
ENSG00000186891	16	98	33	17	48	79	37	71	3	21	5	19	14	32	6
ENSG00000186827	4	49	20	2	32	70	40	7	2	2	1	10	6	3	2
ENSG00000078808	2609	2231	954	2976	518	834	906	3463	1712	2968	2586	2674	3005	3014	3394
ENSG00000176022	465	1081	353	555	112	430	474	433	390	270	226	471	317	370	134
ENSG00000184163	9	49	42	3	125	73	28	17	2	9	15	4	2	20	17
ENSG00000260179	14	32	14	2	32	20	4	23	22	15	24	44	18	9	12
ENSG00000160087	787	987	384	491	387	408	312	1740	476	743	506	677	462	701	583
ENSG00000230415	4	60	8	14	39	43	11	13	18	7	25	19	20	10	10
ENSG00000162572	48	100	57	27	128	114	49	104	44	35	92	62	161	41	46
ENSG00000131584	1466	1498	945	1108	751	833	1038	3152	1649	1868	1743	1453	2637	2020	1210
ENSG00000278073	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0
ENSG00000169972	261	226	135	154	69	113	124	354	82	170	106	110	168	146	54
ENSG00000127054	1090	938	563	1180	767	574	539	2324	909	1040	1138	1222	1169	931	689
ENSG00000283712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	27	32	22	62	10	8	6	93	108	47	49	91	82	47	32
ENSG00000224051	88	185	149	76	84	200	123	174	69	70	38	85	63	81	34
ENSG00000169962	35	169	111	17	131	166	108	129	64	61	27	99	45	96	34
ENSG00000107404	3222	1608	744	1108	550	551	792	3592	638	993	672	794	1175	1175	417
ENSG00000284372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162576	13	124	71	23	98	189	72	63	61	24	24	95	139	61	29
ENSG00000175756	1274	1361	454	1106	161	379	388	1812	542	964	808	884	1218	1100	828
ENSG00000223663	1	2	4	2	2	0	5	5	0	4	0	5	2	4	1
ENSG00000221978	1842	1302	776	2781	713	744	756	3706	2512	3884	3864	3217	3118	3843	2675
ENSG00000224870	435	662	321	685	244	363	293	1101	521	647	504	783	781	830	502
ENSG00000242485	1088	1160	416	1625	169	370	384	1564	622	932	783	916	1149	864	431
ENSG00000264293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272455	25	52	6	25	23	37	26	51	45	61	19	133	34	66	57
ENSG00000235098	379	425	112	676	151	133	199	1155	318	402	478	205	403	458	156
ENSG00000225905	1	5	4	5	0	8	7	3	0	6	3	11	8	4	3
ENSG00000205116	0	5	6	0	7	12	10	0	1	0	0	1	0	1	0
ENSG00000225285	10	52	16	11	67	83	46	8	2	0	1	2	5	9	1
ENSG00000179403	1225	1873	1418	1051	277	432	1084	1201	240	550	635	460	1267	1126	796
ENSG00000215915	418	393	205	245	379	177	181	351	120	179	159	123	157	288	141
ENSG00000160072	807	630	412	807	402	557	529	1697	729	974	1038	1005	1081	712	909
ENSG00000284740	2	16	13	14	25	33	15	36	18	16	9	50	17	10	6
ENSG00000197785	699	463	225	230	154	241	272	746	179	433	232	253	334	329	134
ENSG00000205090	32	94	20	6	73	181	21	33	4	5	18	12	39	19	11
ENSG00000160075	1745	2548	914	2789	758	984	951	2883	1566	3384	2512	1932	2040	3231	3453
ENSG00000215014	55	89	61	49	56	114	69	119	23	73	83	34	34	57	41
ENSG00000274481	0	42	3	0	10	30	12	0	1	3	0	4	0	1	0
ENSG00000228594	14	51	19	15	17	54	31	12	15	17	12	6	35	19	5
ENSG00000286989	7	26	36	8	37	83	16	9	0	13	17	8	26	17	3
ENSG00000272106	660	847	254	639	175	223	235	518	248	599	886	431	600	676	523
ENSG00000197530	1460	1038	475	593	637	622	499	2888	597	735	616	957	1112	746	305
ENSG00000189409	0	2	0	0	9	10	3	2	0	0	0	0	0	0	0
ENSG00000248333	377	198	105	272	171	149	82	411	212	390	356	368	300	302	343
ENSG00000272004	1	2	0	1	1	0	0	2	1	1	0	0	0	1	0
ENSG00000189339	572	528	210	1179	319	312	242	891	709	237	321	647	633	271	167
ENSG00000269737	38	35	36	65	40	29	33	72	68	43	24	71	43	29	17
ENSG00000215914	0	9	0	0	0	8	3	0	0	0	0	0	0	0	0
ENSG00000008128	60	65	9	46	38	56	17	79	51	76	92	58	42	40	50
ENSG00000268575	21	70	21	62	58	66	9	96	41	65	54	42	52	52	29
ENSG00000227775	4	19	8	11	21	34	8	15	23	3	1	24	10	8	1
ENSG00000215790	96	229	84	263	96	210	85	480	128	150	130	168	243	125	42
ENSG00000008130	783	1185	458	970	542	640	513	1310	566	532	489	916	729	716	358
ENSG00000078369	4592	3439	2589	7905	1444	1397	2517	10238	3899	9662	6546	4717	4118	5893	7837
ENSG00000231050	1	88	29	15	126	85	63	15	10	3	6	5	17	7	5
ENSG00000169885	1	76	61	3	110	126	57	6	7	4	0	11	8	8	0
ENSG00000178821	7	80	21	0	19	100	16	2	1	3	4	12	5	5	7
ENSG00000142609	1	359	219	0	500	554	283	10	13	15	1	27	22	18	0
ENSG00000233542	2	18	9	3	32	30	18	1	0	2	0	5	3	3	0
ENSG00000187730	0	162	120	0	256	273	83	6	5	8	0	10	7	8	0
ENSG00000226969	0	27	16	1	69	35	26	2	0	0	1	1	1	1	0
ENSG00000067606	478	520	354	648	565	538	386	717	384	288	230	411	354	175	174
ENSG00000271806	7	54	67	13	97	119	58	20	19	13	14	16	12	14	7
ENSG00000182873	14	80	55	8	93	103	74	36	22	15	12	16	21	16	2
ENSG00000162585	385	597	361	480	470	459	419	764	292	376	341	264	383	357	197
ENSG00000234396	0	9	3	0	6	19	3	3	0	0	0	2	1	0	0
ENSG00000157933	315	366	170	207	256	297	189	813	169	199	167	191	272	151	221
ENSG00000287356	18	129	92	6	137	168	76	26	14	0	19	33	38	22	8
ENSG00000116151	188	572	413	195	426	516	316	283	147	214	391	400	273	193	204
ENSG00000272161	0	24	4	1	4	32	9	2	3	2	1	5	2	3	0
ENSG00000269896	4	150	91	44	178	173	96	19	30	22	35	71	42	29	11
ENSG00000272420	7	5	9	7	7	1	1	6	6	8	18	16	8	3	2
