Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
SRR3048055	52.60967402035518	23096153
SRR3048059	12.44509304679277	23008607
SRR3048060	8.335197913465596	12429990
SRR3048070	34.62751241675278	26316541
SRR3048074	9.03555708926474	9860221
SRR3048075	8.047870853846947	11158242
SRR3048076	7.976203260863563	12347782
SRR3048083	14.601051615149633	36090736
SRS1219077	28.489480716150105	14950453
SRS1219078	31.981313462274375	19613774
SRS1219082	36.58323600678874	22207072
SRS1219084	35.622315473412655	21242556
SRS1219085	37.37751727443663	21397298
SRS1219086	35.1242574326671	20917555
SRS1219089	42.17807747362588	25954021
