ens_gene	ext_gene	target_id	pval	qval	test_stat	rss	degrees_free	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
ENSMUSG00000046447	Camk2n1	ENSMUST00000050918.3	6.7202631677447e-08	0.00122890092416963	29.1437369903682	4.25504325663554	1	6.9203027426016	0.851008651327106	0.00167547581297653	0.849333175514131	0.054428967066549	0.849333175514131
ENSMUSG00000047517	Dmbt1	ENSMUST00000213064.1	6.71891673715568e-08	0.00122890092416963	29.1441252052658	3.8129088365854	1	10.1132735276506	0.76258176731708	0.000847359620427697	0.761734407696652	0.26084686163761	0.761734407696652
ENSMUSG00000001424	Snd1	ENSMUST00000001460.13	1.67406208647178e-07	0.00143003220577562	27.3770504011557	0.921223233133339	1	8.29798616673818	0.184244646626669	0.000303724447393546	0.183940922179274	0.0736064499273227	0.183940922179274
ENSMUSG00000003814	Calr	ENSMUST00000003912.6	3.93417651046875e-07	0.00143003220577562	25.7263547795569	0.930001235391398	1	8.58030515370694	0.186000247078279	0.00028131089324817	0.185718936185031	0.0852286673544909	0.185718936185031
ENSMUSG00000012848	Rps5	ENSMUST00000004554.13	1.4059573492185e-06	0.00143003220577562	23.272503146277	0.696042406209875	1	8.0092105808532	0.139208481241976	0.000337646910029026	0.138870834331946	0.0650788925463507	0.138870834331946
ENSMUSG00000004788	Eif2b2	ENSMUST00000004910.11	2.3059188744501e-06	0.00143003220577562	22.3216523511642	1.98938338153548	1	6.40203837071322	0.397876676307096	0.00221754181681715	0.395659134490278	0.0592774698244633	0.395659134490278
ENSMUSG00000006378	Gcat	ENSMUST00000006544.8	2.08352262142439e-06	0.00143003220577562	22.5164450064338	2.16410279563281	1	7.10281686773217	0.432820559126564	0.00315850426436536	0.429662054862198	0.0542276089144427	0.429662054862198
ENSMUSG00000015605	Srf	ENSMUST00000015749.6	9.5406640399787e-07	0.00143003220577562	24.0186587197371	3.52153464059414	1	7.80747583951498	0.70430692811883	0.000516585409069603	0.703790342709758	0.060775496541646	0.703790342709758
ENSMUSG00000017007	Rbpjl	ENSMUST00000017151.1	2.24447724677672e-06	0.00143003220577562	22.3735169423239	3.07924878170376	1	6.82206957079602	0.615849756340754	0.0017667173651118	0.614083038975641	0.054851339187439	0.614083038975641
ENSMUSG00000019818	Cd164	ENSMUST00000019962.14	1.35175745218167e-06	0.00143003220577562	23.3481174154458	0.913615784509803	1	8.00741819515335	0.182723156901959	0.000408847959588345	0.182314308942372	0.0650350764531992	0.182314308942372
ENSMUSG00000019923	Zwint	ENSMUST00000020081.10	1.86697059076743e-06	0.00143003220577562	22.7272947173964	4.03970507347901	1	5.74707043762412	0.8079410146958	0.0082458482608809	0.79969516643492	0.0765561040560094	0.79969516643492
ENSMUSG00000020048	Hsp90b1	ENSMUST00000020238.13	9.94503861174497e-07	0.00143003220577562	23.9387372929585	1.37873043276277	1	9.11339094725665	0.275746086552553	0.000148226304109855	0.275597860248444	0.119377859216766	0.275597860248444
ENSMUSG00000020372	Rack1	ENSMUST00000020640.7	4.46233682685054e-07	0.00143003220577562	25.4832785628436	1.10083555787414	1	8.72060292921145	0.220167111574829	0.000216816527508142	0.21995029504732	0.0924738253663736	0.21995029504732
ENSMUSG00000024063	Lbh	ENSMUST00000024857.13	3.05070168955258e-07	0.00143003220577562	26.2173443165721	3.10376953058932	1	7.90428564413086	0.620753906117864	0.000414687215252286	0.620339218902611	0.0626860315670647	0.620339218902611
ENSMUSG00000073433	Arhgdig	ENSMUST00000025019.8	7.3313484676688e-07	0.00143003220577562	24.5260093353185	1.1633201285645	1	7.08922094700395	0.2326640257129	0.00113577022409254	0.231528255488807	0.0542166471528263	0.231528255488807
ENSMUSG00000024991	Eif3a	ENSMUST00000025955.7	1.68172766111776e-06	0.00143003220577562	22.9281290370631	0.513311783507637	1	8.17779804548483	0.102662356701528	0.000328494224115433	0.102333862477412	0.0696874836812682	0.102333862477412
ENSMUSG00000027248	Pdia3	ENSMUST00000028683.13	2.0681532781719e-07	0.00143003220577562	26.9683408144893	1.12893521477201	1	8.27884269073612	0.225787042954402	0.000430290796059313	0.225356752158343	0.0729444284476136	0.225356752158343
ENSMUSG00000028081	Rps3a1	ENSMUST00000029722.6	1.30470663879558e-06	0.00143003220577562	23.4162657336949	0.806110516261404	1	8.53895426521583	0.161222103252281	0.000201046694144375	0.161021056558136	0.0832923474420312	0.161021056558136
ENSMUSG00000029614	Rpl6	ENSMUST00000031617.12	7.42203180947748e-07	0.00143003220577562	24.5023225159624	0.83817740601688	1	8.51568672858931	0.167635481203376	0.000173071489328153	0.167462409714048	0.0822403296251469	0.167462409714048
ENSMUSG00000030219	Erp27	ENSMUST00000032343.6	1.38246231522018e-06	0.00143003220577562	23.3049156460251	3.32828067590114	1	7.96598786967449	0.665656135180229	0.000323706774467161	0.665332428405761	0.0640511629150268	0.665332428405761
ENSMUSG00000031320	Rps4x	ENSMUST00000033683.7	1.78391475319878e-07	0.00143003220577562	27.2541537769749	1.1315472616463	1	8.44104937427842	0.226309452329262	0.000196513806319716	0.226112938522941	0.0790409032023345	0.226112938522941
ENSMUSG00000031896	Ctrl	ENSMUST00000034368.7	2.18767234336364e-06	0.00143003220577562	22.4227506592302	2.67701971988554	1	12.6017722559551	0.535403943977109	3.30180954386679e-06	0.535400642167565	2.37832210990096	2.37832210990096
ENSMUSG00000031919	Tmed6	ENSMUST00000034393.6	1.59707048877177e-06	0.00143003220577562	23.027422242712	2.95558064700803	1	7.6839908578285	0.591116129401609	0.000475481515068919	0.590640647886538	0.0587257111560019	0.590640647886538
ENSMUSG00000032399	Rpl4	ENSMUST00000034966.8	1.14832007369973e-06	0.00143003220577562	23.6619268568625	0.99985469672577	1	9.13572658543532	0.199970939345155	8.6455256098668e-05	0.199884484089055	0.121254291562496	0.199884484089055
ENSMUSG00000034707	Gns	ENSMUST00000040344.6	1.87927432027324e-06	0.00143003220577562	22.7146724208833	1.88662181886834	1	7.22401026629114	0.377324363773668	0.00121459096423713	0.37610977280943	0.0545102396852448	0.37610977280943
ENSMUSG00000037742	Eef1a1	ENSMUST00000042235.14	1.88616653149157e-06	0.00143003220577562	22.7076379317136	0.971064281914142	1	10.6656886434956	0.194212856382829	3.91311895336697e-05	0.194173725193295	0.421499745064832	0.421499745064832
ENSMUSG00000041841	Rpl37	ENSMUST00000045356.8	2.18068099100457e-06	0.00143003220577562	22.4288986201078	0.935498341077168	1	6.97420584993243	0.187099668215434	0.00174416204290487	0.185355506172529	0.0542909965908066	0.185355506172529
ENSMUSG00000034994	Eef2	ENSMUST00000047864.10	1.18226926787976e-06	0.00143003220577562	23.6058599896586	0.991231447394543	1	10.342939520918	0.198246289478909	3.32883812202613e-05	0.198213001097688	0.317618440442775	0.317618440442775
ENSMUSG00000042179	Pnliprp1	ENSMUST00000048644.5	1.95380606694974e-06	0.00143003220577562	22.6399391984822	4.08092780756386	1	12.5937880277961	0.816185561512773	4.88259325048388e-06	0.816180678919522	2.36174965225056	2.36174965225056
ENSMUSG00000047797	Gjb1	ENSMUST00000052130.13	9.48706028566747e-07	0.00143003220577562	24.0295072601214	2.75066331173519	1	6.467282344204	0.550132662347039	0.00233059444795719	0.54780206789908	0.0582953242776827	0.54780206789908
ENSMUSG00000032562	Gnai2	ENSMUST00000055704.11	1.5023899501983e-06	0.00143003220577562	23.1449275835642	2.65723485693233	1	6.95674073570693	0.531446971386465	0.00197271652224266	0.529474254864224	0.0543284673868116	0.529474254864224
ENSMUSG00000043716	Rpl7	ENSMUST00000058437.13	1.74449460587076e-06	0.00143003220577562	22.8576954757791	0.904341446532604	1	7.61603987154652	0.180868289306521	0.00144333360829429	0.179424955698226	0.057773178308757	0.179424955698226
ENSMUSG00000049354	Dcaf7	ENSMUST00000058438.8	1.20476975284565e-06	0.00143003220577562	23.5695833541551	1.86460471339102	1	6.47576623910557	0.372920942678202	0.00271770739432145	0.370203235283882	0.0581760001346346	0.370203235283882
ENSMUSG00000057163	Prss2	ENSMUST00000070380.4	2.30694501793021e-06	0.00143003220577562	22.3207979742723	2.73576303432347	1	13.3353465116388	0.547152606864696	1.55845429462562e-06	0.547151048410399	4.47097855569255	4.47097855569255
ENSMUSG00000071521	Try10	ENSMUST00000072103.6	4.85038666828151e-07	0.00143003220577562	25.3224177619126	4.4054296174013	1	7.703892180988	0.881085923480261	0.000492464966449276	0.880593458513811	0.0590278331000786	0.880593458513811
ENSMUSG00000060938	Rpl26	ENSMUST00000073471.12	2.26798205425607e-06	0.00143003220577562	22.3535095786217	1.07827965299217	1	7.80517263848478	0.215655930598435	0.000417970495847554	0.215237960102586	0.0607333696110187	0.215237960102586
ENSMUSG00000061315	Naca	ENSMUST00000073868.8	1.56686369375637e-06	0.00143003220577562	23.0641344754954	1.05211814221898	1	7.65596492016538	0.210423628443796	0.000481542116298551	0.209942086327497	0.0583181508438432	0.209942086327497
ENSMUSG00000064351	mt-Co1	ENSMUST00000082402.1	7.1779490147979e-07	0.00143003220577562	24.566754723772	0.112119018884392	1	10.7348602673605	0.0224238037768787	2.13238510432815e-05	0.0224024799258352	0.448171534236187	0.448171534236187
ENSMUSG00000064363	mt-Nd4	ENSMUST00000082414.1	1.84187611179953e-06	0.00143003220577562	22.7532996438682	0.118276992753499	1	9.6937587223728	0.0236553985506998	6.69552514909909e-05	0.0235884432992087	0.184568568279077	0.184568568279077
ENSMUSG00000064370	mt-Cytb	ENSMUST00000082421.1	8.12404902977061e-07	0.00143003220577562	24.3282111158787	0.137119498598357	1	10.1219749313583	0.0274238997196718	2.89637828238308e-05	0.0273949359368476	0.262778348495019	0.262778348495019
ENSMUSG00000067274	Rplp0	ENSMUST00000086519.11	1.80338551463018e-06	0.00143003220577562	22.7938855273229	0.777600085127233	1	9.03470826440013	0.155520017025447	0.000249410109615151	0.155270606915831	0.113093693548378	0.155270606915831
ENSMUSG00000057530	Ece1	ENSMUST00000102518.9	3.32657982691816e-07	0.00143003220577562	26.0501791443357	3.7613299357204	1	7.43764250580077	0.75226598714408	0.00108457483122916	0.751181412312851	0.0558308625227279	0.751181412312851
ENSMUSG00000023433	Cela3b	ENSMUST00000102522.4	1.75327342208063e-06	0.00143003220577562	22.848047553043	2.38063162273248	1	12.901527631032	0.476126324546496	2.49549245704307e-06	0.476123829054039	3.08672328131244	3.08672328131244
ENSMUSG00000078193	Gm2000	ENSMUST00000102782.3	2.02950106716583e-06	0.00143003220577562	22.5669112208137	1.27804024503687	1	7.45668147728978	0.255608049007373	0.000876181348821135	0.254731867658552	0.056000805281023	0.254731867658552
ENSMUSG00000004207	Psap	ENSMUST00000105465.7	1.65169404313948e-06	0.00143003220577562	22.9627692786931	2.29111967754738	1	7.88272072303594	0.458223935509476	0.0119817675540291	0.446242167955447	0.0622364222181098	0.446242167955447
ENSMUSG00000058569	Tmed9	ENSMUST00000109905.4	2.20539215312997e-06	0.00143003220577562	22.4072563090254	1.26705250717059	1	6.8079715280104	0.253410501434116	0.00136558711317642	0.252044914320941	0.0549302460004435	0.252044914320941
ENSMUSG00000024027	Glp1r	ENSMUST00000114574.2	6.42485908903265e-07	0.00143003220577562	24.7803659552187	2.18584390382959	1	7.69538760606607	0.437168780765919	0.000786709065143509	0.436382071700775	0.0588974246277608	0.436382071700775
ENSMUSG00000015656	Hspa8	ENSMUST00000117557.7	2.53494842248157e-07	0.00143003220577562	26.5750618791254	2.13496481974265	1	8.44933024378698	0.426992963948532	0.00338287175245571	0.423610092196075	0.0793830300413233	0.423610092196075
ENSMUSG00000081406	Rps6-ps4	ENSMUST00000118499.1	1.63632216805186e-06	0.00143003220577562	22.9807441536763	0.877367401287209	1	7.75018689205057	0.175473480257442	0.00322919521758013	0.172244285039862	0.0597721560866282	0.172244285039862
ENSMUSG00000033416	Gucd1	ENSMUST00000118936.7	1.51610316767048e-06	0.00143003220577562	23.1274559330669	2.90929323538739	1	6.55686540549808	0.581858647077479	0.00390427110614852	0.577954375971329	0.0571302612558594	0.577954375971329
ENSMUSG00000058603	Rpl28-ps1	ENSMUST00000121497.1	5.16101577276778e-07	0.00143003220577562	25.2026901523269	1.13191602539748	1	7.20387946055419	0.226383205079496	0.000931586784470355	0.225451618295025	0.0544401927929305	0.225451618295025
ENSMUSG00000025967	Eef1b2	ENSMUST00000135877.7	1.99486715519327e-06	0.00143003220577562	22.599979686175	1.38977014735123	1	7.37183152522143	0.277954029470247	0.00103265911579205	0.276921370354454	0.0553101874543108	0.276921370354454
ENSMUSG00000048758	Rpl29	ENSMUST00000150576.7	4.30045269169625e-07	0.00143003220577562	25.5545745380261	1.28428855501808	1	7.59819323491408	0.256857711003616	0.00208600740558576	0.25477170359803	0.057542927030965	0.25477170359803
ENSMUSG00000062997	Rpl35	ENSMUST00000152441.1	2.28780858959671e-06	0.00143003220577562	22.3367942422833	1.49949728681897	1	6.78692725507373	0.299899457363795	0.00245677956470497	0.297442677799089	0.055056654692961	0.297442677799089
ENSMUSG00000069114	Zbtb10	ENSMUST00000155203.1	1.7900100608887e-06	0.00143003220577562	22.8081928217079	2.60259184671167	1	6.1975900767114	0.520518369342336	0.00245203534378486	0.51806633399855	0.0631348469831806	0.51806633399855
ENSMUSG00000064373	Selenop	ENSMUST00000159216.8	1.88358062126699e-06	0.00143003220577562	22.7102741968263	2.02268774539885	1	8.42870260039913	0.40453754907977	0.00474458147364779	0.399792967606121	0.078536599685065	0.399792967606121
ENSMUSG00000096210	H1f0	ENSMUST00000180086.2	1.68991833216725e-06	0.00143003220577562	22.9187897220699	1.24978282720204	1	7.94227025842054	0.249956565440409	0.000313794013951041	0.249642771426457	0.0635124421975209	0.249642771426457
ENSMUSG00000107176	Gm9794	ENSMUST00000202370.1	1.50237341507029e-06	0.00143003220577562	23.1449487469414	1.28110399952459	1	7.48023522575675	0.256220799904919	0.000930936650489803	0.255289863254428	0.0562231841576585	0.255289863254428
ENSMUSG00000045128	Rpl18a	ENSMUST00000212378.1	1.17369049542653e-06	0.00143003220577562	23.6198738367707	1.99075814826816	1	7.07856065449222	0.398151629653633	0.00288102297833407	0.395270606675298	0.0542109721581498	0.395270606675298
ENSMUSG00000023031	Cela1	ENSMUST00000023775.8	2.61831991536245e-06	0.00145882700712169	22.0777136776755	2.46733899569343	1	13.7770146990239	0.493467799138689	1.25040701265625e-06	0.493466548731674	6.46037964722841	6.46037964722841
ENSMUSG00000053644	Aldh7a1	ENSMUST00000066208.12	2.49922110348339e-06	0.00145882700712169	22.1670836627037	2.91251780945503	1	7.1349678992037	0.582503561891006	0.000930182914164202	0.581573378976841	0.0542701487785417	0.581573378976841
ENSMUSG00000015846	Rxra	ENSMUST00000077257.11	2.59480858962795e-06	0.00145882700712169	22.0950286703207	1.69646081086157	1	6.51421681508482	0.339292162172316	0.0024355432890637	0.336856618883251	0.0576589382999942	0.336856618883251
ENSMUSG00000060636	Rpl35a	ENSMUST00000078804.11	2.51467017188511e-06	0.00145882700712169	22.1552525831567	0.588167471839681	1	7.42677250469271	0.117633494367937	0.000702516100086117	0.11693097826785	0.0557377457396729	0.11693097826785
ENSMUSG00000062397	Zfp706	ENSMUST00000078976.8	2.6326137442931e-06	0.00145882700712169	22.0672630213361	0.99151510609753	1	7.1767769002526	0.198303021219506	0.000815331407210238	0.197487689812296	0.0543604584905829	0.197487689812296
ENSMUSG00000022016	Akap11	ENSMUST00000123853.8	2.49343505152873e-06	0.00145882700712169	22.1715335851397	6.24491777639956	1	5.71228354628466	1.24898355527991	0.0107756779767912	1.23820787730312	0.0779270155341454	1.23820787730312
ENSMUSG00000001627	Ifrd1	ENSMUST00000164047.1	2.44369854811348e-06	0.00145882700712169	22.210217676508	3.21208810449225	1	6.00053448360072	0.642417620898449	0.00339132437117976	0.639026296527269	0.0680894086318871	0.639026296527269
ENSMUSG00000024225	Clps	ENSMUST00000025062.4	2.79291457884021e-06	0.00146421072689255	21.9538129519598	2.72514869207458	1	11.8584212136131	0.545029738414918	7.70600575361048e-06	0.545022032409163	1.22954082411754	1.22954082411754
ENSMUSG00000041453	Rpl21	ENSMUST00000035983.11	2.80247042579166e-06	0.00146421072689255	21.9472578467813	1.23022764721447	1	7.57553844179275	0.246045529442894	0.000754482037934994	0.245291047404959	0.0572623786326059	0.245291047404959
ENSMUSG00000011257	Pabpc4	ENSMUST00000080178.12	2.69960437739611e-06	0.00146421072689255	22.0190307408155	1.88773107623347	1	8.22859630213214	0.377546215246695	0.00120426807353483	0.376341947173158	0.0712758659963668	0.376341947173158
ENSMUSG00000064341	mt-Nd1	ENSMUST00000082392.1	2.76217728312625e-06	0.00146421072689255	21.97505171514	0.0869062872258209	1	9.33414372420614	0.0173812574451643	9.31400849896284e-05	0.0172881173601745	0.139896636707022	0.139896636707022
ENSMUSG00000015869	Prpsap1	ENSMUST00000106391.7	2.86812119110581e-06	0.0014774055820044	21.9028201200987	2.67130213717256	1	6.54973666708859	0.534260427434512	0.00211750525125368	0.532142922183258	0.0572153855700659	0.532142922183258
ENSMUSG00000003970	Rpl8	ENSMUST00000004072.9	3.45265814874206e-06	0.00148429019866867	21.5469807671405	0.703167364954336	1	8.77173106263422	0.140633472990868	0.000151167382965249	0.140482305607902	0.0953920238902178	0.140482305607902
ENSMUSG00000007892	Rplp1	ENSMUST00000008036.8	3.57141983110061e-06	0.00148429019866867	21.4821266569248	0.852539111576415	1	8.67392603068303	0.170507822315284	0.00017202073469288	0.17033580158059	0.0899428875688014	0.17033580158059
ENSMUSG00000011463	Cpb1	ENSMUST00000011607.5	3.34102051255909e-06	0.00148429019866867	21.6100188694871	3.31638034902599	1	12.9463167201258	0.663276069805202	2.44625131037486e-06	0.663273623553888	3.20832375972236	3.20832375972236
ENSMUSG00000027706	Sec62	ENSMUST00000029256.8	3.24960523367068e-06	0.00148429019866867	21.663232511601	0.666213744991485	1	7.7253124111894	0.133242748998297	0.00050305520944779	0.132739693788849	0.0593649529986723	0.132739693788849
ENSMUSG00000054106	Try4	ENSMUST00000031913.4	3.42966629071651e-06	0.00148429019866867	21.5597946168988	2.42489351893659	1	12.9990491543316	0.48497870378732	2.51812877860125e-06	0.48497618565854	3.35727271957378	3.35727271957378
ENSMUSG00000029882	2210010C04Rik	ENSMUST00000031931.5	3.34399446005284e-06	0.00148429019866867	21.6083123435008	2.75696533005834	1	12.6382197935826	0.551393066011669	3.48589995377039e-06	0.551389580111715	2.45538895331872	2.45538895331872
ENSMUSG00000030432	Rpl28	ENSMUST00000032597.11	3.08521950313246e-06	0.00148429019866867	21.7628162126954	1.28050561482248	1	7.31256792655076	0.256101122964498	0.00101806099174092	0.255083061972756	0.0549286829898782	0.255083061972756
ENSMUSG00000031812	Map1lc3b	ENSMUST00000034270.16	3.4085753655993e-06	0.00148429019866867	21.5716250634481	1.3460716588712	1	7.18192371487407	0.26921433177424	0.00110597938674399	0.268108352387496	0.054374316022926	0.268108352387496
ENSMUSG00000033863	Klf9	ENSMUST00000036884.2	3.27078061775332e-06	0.00148429019866867	21.6507736573507	1.61247846078816	1	7.50749367634976	0.322495692157632	0.000565692251347904	0.321929999906284	0.0564974370998804	0.321929999906284
ENSMUSG00000038762	Abcf1	ENSMUST00000043757.14	3.43197249245299e-06	0.00148429019866867	21.5585054386071	0.600936300306345	1	7.20476158558318	0.12018726006127	0.00081406477182166	0.119373195289447	0.0544430687265735	0.119373195289447
ENSMUSG00000046008	Pnlip	ENSMUST00000057270.8	3.2669121974686e-06	0.00148429019866867	21.6530436470095	2.85612693393358	1	13.6597180333947	0.571225386786716	1.19159432131123e-06	0.571224195192394	5.8642264884757	5.8642264884757
ENSMUSG00000096569	Amy2a2	ENSMUST00000098667.4	3.54192720447691e-06	0.00148429019866867	21.498027937873	2.69555349504567	1	13.7903569056111	0.539110699009136	4.96411123097956e-05	0.539061057896825	6.53163416096584	6.53163416096584
ENSMUSG00000058579	Cela2a	ENSMUST00000102481.3	3.39776732175312e-06	0.00148429019866867	21.5777160707785	2.60547977767184	1	14.0993447448613	0.521095955534371	5.84771942155259e-07	0.521095370762426	8.39938814117775	8.39938814117775
ENSMUSG00000078915	Hsp25-ps1	ENSMUST00000109187.2	3.47985952482605e-06	0.00148429019866867	21.5319309764141	2.3128257484429	1	6.74896158968911	0.46256514968858	0.00637117487825734	0.456193974810322	0.0553109945643414	0.456193974810322
ENSMUSG00000037331	Larp1	ENSMUST00000178636.1	3.15994469408171e-06	0.00148429019866867	21.7169042837611	0.837343554032269	1	8.35241354406938	0.167468710806455	0.00020790329052793	0.167260807515926	0.0755706599525608	0.167260807515926
ENSMUSG00000093931	Amy2a3	ENSMUST00000179314.2	3.54192720447691e-06	0.00148429019866867	21.498027937873	2.69555349504567	1	13.7903569056111	0.539110699009136	4.96411123097956e-05	0.539061057896825	6.53163416096584	6.53163416096584
ENSMUSG00000096770	Amy2a4	ENSMUST00000179568.2	3.54192720447691e-06	0.00148429019866867	21.498027937873	2.69555349504567	1	13.7903569056111	0.539110699009136	4.96411123097956e-05	0.539061057896825	6.53163416096584	6.53163416096584
ENSMUSG00000074268	Amy2a5	ENSMUST00000098673.4	3.67424221006464e-06	0.00150986584661454	21.4277012600391	2.60109712930149	1	14.1141910053563	0.520219425860298	0.000226424697468653	0.519993001162829	8.50045786406481	8.50045786406481
ENSMUSG00000029195	Klb	ENSMUST00000031096.10	3.7204790194485e-06	0.00151187865753656	21.403723750169	3.68316793964013	1	5.55307596163489	0.736633587928028	0.004805244923743	0.731828343004284	0.0849306528082684	0.731828343004284
ENSMUSG00000015656	Hspa8	ENSMUST00000015800.15	4.20638072311178e-06	0.00151722199300345	21.168423359328	2.548993279889	1	9.06286697151169	0.509798655977801	0.00107901111358603	0.508719644864214	0.115285600839067	0.508719644864214
ENSMUSG00000020894	Vamp2	ENSMUST00000021273.12	4.00314177507584e-06	0.00151722199300345	21.2633423208759	2.55622592141307	1	6.09949831402717	0.511245184282613	0.00400002059502202	0.507245163687592	0.0654387232051913	0.507245163687592
ENSMUSG00000026818	Cel	ENSMUST00000028161.5	4.09087078291345e-06	0.00151722199300345	21.2217902470272	3.39897309206761	1	13.1182530396067	0.679794618413523	2.00817940887064e-06	0.679792610234114	3.71828452945323	3.71828452945323
